step	global-lle	local-lle	lle-ratio
0	+2.1503686190642339e+00	+2.1503686190642339e+00	+0.0000000000000000e+00
0	+2.3472531522496007e+00	+2.3472531522496007e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463289227765e+00	+2.6880463289227765e+00	+0.0000000000000000e+00
99	-3.7329672199877166e+01	-3.2446748364271776e+00	+6.8169994726899972e+01
99	-6.5281388336151053e+02	-6.4013439183563563e+01	+1.1776008883558939e+03
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
8	+1.8163491853168083e+00	+1.9101077098167087e+00	+1.8751704899980082e-01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.2763202450994709e+02	-6.1495253298407206e+01	+1.1322735424230798e+03
99	-1.7313570187288266e+02	-1.6653662403289633e+01	+3.1296407893918604e+02
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
99	-2.9130098374676390e+02	-2.8168863083260376e+01	+5.2626424132700708e+02
0	+2.2836247184104064e+00	+2.2836247184104064e+00	+0.0000000000000000e+00
99	-6.4566568915445589e+02	-6.3298619762858095e+01	+1.1647341387831957e+03
0	+1.2399951160135796e+00	+1.2399951160135796e+00	+0.0000000000000000e+00
99	-6.0509543339870584e+02	-5.9241594187283091e+01	+1.0917076784228454e+03
99	-1.5149271778527549e+02	-1.3881322625940037e+01	+2.7522279031867089e+02
0	+2.3472531328106285e+00	+2.3472531328106285e+00	+0.0000000000000000e+00
0	+2.6880463289553607e+00	+2.6880463289553607e+00	+0.0000000000000000e+00
99	-6.5885028536474204e+02	-6.4617079383886704e+01	+1.1884664119617107e+03
99	-6.4401625249012352e+02	-6.3133676096424850e+01	+1.1617651527873973e+03
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.7142482342504275e+02	-6.5874533189916789e+01	+1.2111005804702520e+03
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
99	-2.6952422195578180e+02	-2.5684473042990668e+01	+4.8767949782558225e+02
0	+2.6880463289805139e+00	+2.6880463289805139e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-5.0089889203341966e+02	-4.8821940050754463e+01	+9.0415390396533041e+02
99	-9.6951284154456658e+01	-9.2068360318851283e+00	+1.7548889624514305e+02
0	+2.3472531532051315e+00	+2.3472531532051315e+00	+0.0000000000000000e+00
99	-6.4980637741448049e+02	-6.3712688588860559e+01	+1.1721873776512398e+03
99	-2.8196287154277726e+01	-2.5757862220391190e+00	+5.1241001864477212e+01
3	+1.4926292470672595e+00	+1.5129923698010241e+00	+4.0726245467529232e-02
99	-6.1809985492853616e+02	-6.0542036340266122e+01	+1.1151156371765401e+03
99	-3.9803606595085668e+01	-3.9648996292279648e+00	+7.1677413931715407e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.5688793554359404e+02	-6.4420844401771916e+01	+1.1849341822836443e+03
0	+2.6880463288976202e+00	+2.6880463288976202e+00	+0.0000000000000000e+00
99	-7.9457142121678288e+00	+4.7337773137073358e-01	+1.6838183887077125e+01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.4247004497632372e+02	-6.2979055345044884e+01	+1.1589819792625576e+03
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
99	-5.9504787970197503e+02	-5.8236838817610014e+01	+1.0736220817687301e+03
0	+2.3472531531874923e+00	+2.3472531531874923e+00	+0.0000000000000000e+00
99	-6.3395374595930161e+00	+3.2728154545672339e-01	+1.3333638010099479e+01
99	-6.6463287889465937e+02	-6.5195338736878440e+01	+1.1988750803155619e+03
23	+3.6106354112182659e-02	+5.2395263369908807e-01	+9.7569255917381081e-01
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
0	+2.1503686190642339e+00	+2.1503686190642339e+00	+0.0000000000000000e+00
0	+2.6880463289010059e+00	+2.6880463289010059e+00	+0.0000000000000000e+00
0	+1.4494391802337323e+00	+1.4494391802337323e+00	+0.0000000000000000e+00
99	-3.1230277105821580e+02	-3.0269041814405561e+01	+5.6406745848762046e+02
0	+7.3514193561332490e+00	+7.3514193561332490e+00	+0.0000000000000000e+00
78	-1.3589566661742714e+00	+1.1424844020133746e+00	+5.0028821363752920e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-1.2232878939769323e+02	-1.1572971155770690e+01	+2.2151163648384508e+02
34	-8.4037738077121693e-01	+2.6947892171277354e-03	+1.6861443399766893e+00
0	+2.6880463316064054e+00	+2.6880463316064054e+00	+0.0000000000000000e+00
0	+2.6880463323161550e+00	+2.6880463323161550e+00	+0.0000000000000000e+00
99	-6.5432873388099677e+02	-6.4164924235512188e+01	+1.1803276192909691e+03
0	+1.5131038784579596e+00	+1.5131038784579596e+00	+0.0000000000000000e+00
0	+2.3472531532367205e+00	+2.3472531532367205e+00	+0.0000000000000000e+00
0	+2.6880463289136927e+00	+2.6880463289136927e+00	+0.0000000000000000e+00
0	+2.6880463289104011e+00	+2.6880463289104011e+00	+0.0000000000000000e+00
0	+2.1503686190642339e+00	+2.1503686190642339e+00	+0.0000000000000000e+00
0	+2.1503686190642339e+00	+2.1503686190642339e+00	+0.0000000000000000e+00
